date,송정_정점명,송정_정점코드,송정_유속(cm/s),송정_유향(deg),송정_수온(℃),송정_염분(PSU),송정_유의파고(m),송정_유의파주기(sec),송정_최대파고(m),송정_최대파주기(sec),송정_풍속(m/s),송정_풍향(deg),송정_기온(℃),송정_기압(hPa),송정_시정(m)
2023-08-03,,,80.37174721189591,72.72862453531599,22.566914498141266,,1.2,,1.7,,4.3,237.2355072463768,27.479347826086958,1006.8742753623188,
2023-08-04,,,67.75984555984556,64.70769230769231,21.157692307692308,,2.1,,2.4,,5.4,260.8679245283019,27.01245283018868,1005.0128301886793,
2023-08-05,,,68.24981818181818,49.516363636363636,22.77781818181818,,1.6,,2.2,,3.3,165.45,26.66821428571429,1001.0807142857142,
2023-08-06,,,60.31748251748252,61.13636363636363,26.145804195804196,,1.7,,2.3,,8.4,49.05594405594405,28.003496503496503,998.543006993007,
2023-08-07,,,34.199999999999996,100.88297872340425,28.552313167259786,,1.9,,2.6,,12.1,33.212765957446805,28.690070921985818,998.9131205673759,
2023-08-08,,,25.064310954063604,142.0600706713781,28.210283687943264,,2.2,,3.6,,13.9,30.395759717314487,27.592932862190814,1001.6261484098941,
2023-08-09,,,25.99609929078014,187.5,27.99217081850534,,2.4,,3.8,,16.9,22.042402826855124,26.345936395759715,1000.7201413427562,
2023-08-10,,,32.97473309608541,155.96797153024912,27.4125,,6.0,,7.9,,20.6,152.17081850533808,26.679359430604983,991.9056939501779,
2023-08-11,,,60.24929078014184,110.09929078014184,25.869148936170212,,1.7,,2.4,,11.6,215.35335689045937,26.925088339222615,1002.4116607773851,
2023-08-12,,,42.309999999999995,131.19285714285715,24.83178571428571,,0.7,,1.1,,5.3,223.65124555160142,26.315658362989325,1004.4117437722421,
2023-08-13,,,48.52269503546099,114.66666666666667,25.377304964539007,,0.9,,1.3,,7.8,130.17375886524823,25.59078014184397,1005.3773049645391,
2023-08-14,,,47.93333333333333,156.03157894736842,26.80140350877193,,1.3,,1.9,,10.5,71.00701754385965,26.623157894736842,1005.8736842105263,
2023-08-15,,,40.10704225352112,133.46830985915494,26.412323943661974,,2.0,,3.0,,11.7,44.771126760563384,26.296478873239437,1004.3249999999999,
2023-08-16,,,38.47298245614035,148.65964912280702,26.423859649122807,,1.8,,2.8,,5.6,94.73076923076923,25.63006993006993,1004.8625874125875,
2023-08-17,,,42.011428571428574,91.125,26.345,,1.3,,2.0,,8.6,77.64642857142857,25.488214285714285,1005.7832142857143,
2023-08-18,,,42.571875000000006,92.6875,26.388194444444444,,1.0,,1.5,,7.2,49.454861111111114,26.013194444444444,1007.1399305555556,
2023-08-19,,,36.91236749116608,97.59010600706713,26.485865724381625,,1.3,,2.2,,6.2,127.9894366197183,26.728521126760562,1010.2288732394367,
2023-08-20,,,39.07727272727273,87.5909090909091,25.992307692307694,,0.6,,1.3,,6.4,188.8397212543554,27.32020905923345,1011.6951219512196,
2023-08-21,,,25.642253521126758,121.80281690140845,25.79540636042403,,0.4,,0.7,,4.3,207.30877192982456,27.500350877192982,1009.8607017543859,
2023-08-22,,,22.944285714285712,150.8,25.420357142857142,,0.7,,1.2,,6.9,220.83928571428572,27.502857142857142,1007.0053571428572,
2023-08-23,,,22.052857142857142,137.93571428571428,25.11107142857143,,0.7,,1.2,,7.6,212.37142857142857,27.55107142857143,1006.8992857142857,
2023-08-24,,,21.88357142857143,65.83214285714286,25.338214285714287,,1.8,,2.8,,13.2,177.8607142857143,26.662142857142857,1007.6975,
2023-08-25,,,36.6,52.0,24.9,,1.4,,2.0,,10.2,219.0,26.8,1006.9,
2023-08-26,,,30.99786476868327,126.98220640569394,24.847330960854094,,0.5,,0.8,,4.6,109.11387900355872,26.32918149466192,1009.2071174377224,
2023-08-27,,,36.45473684210526,133.58245614035087,25.931338028169016,,1.1,,1.9,,10.1,45.757894736842104,26.293333333333333,1008.7038596491227,
2023-08-28,,,43.947535211267606,139.92253521126761,26.24542253521127,,1.2,,1.9,,10.2,28.760563380281692,26.22042253521127,1008.431690140845,
2023-08-29,,,41.229032258064514,87.40860215053763,26.413620071684587,,2.3,,3.3,,13.8,222.8896797153025,27.150889679715302,1008.2523131672599,
2023-08-30,,,59.58842105263158,99.44912280701755,25.706315789473685,,1.3,,2.0,,8.9,216.3298245614035,27.004210526315788,1009.3249122807017,
2023-08-31,,,43.478853046594985,101.00716845878136,25.17921146953405,,1.1,,1.8,,7.1,136.37809187279152,26.130035335689048,1009.6424028268551,
2023-09-01,,,59.503571428571426,89.30357142857143,24.676785714285714,,1.8,,2.9,,14.0,115.14285714285714,24.253214285714286,1011.3324999999999,
2023-09-02,,,27.552650176678444,131.4982332155477,24.619787985865724,,1.0,,1.5,,6.5,143.59717314487634,24.46537102473498,1012.1759717314487,
