지점,지점명,일시,평균 풍속(m/s),최대 순간 풍속 풍향(deg)
923,기장,2018-07-01,1.4,182.8
923,기장,2018-07-02,1.4,239.1
923,기장,2018-07-03,3.4,39.4
923,기장,2018-07-04,1.9,306.6
923,기장,2018-07-05,1.6,33.8
923,기장,2018-07-06,3.3,75.9
923,기장,2018-07-07,3.6,56.3
923,기장,2018-07-08,2.9,87.2
923,기장,2018-07-09,1.9,45
923,기장,2018-07-10,1.2,239.1
923,기장,2018-07-11,1.2,182.8
923,기장,2018-07-12,1.6,216.6
923,기장,2018-07-13,1.6,298.1
923,기장,2018-07-14,1.3,306.6
923,기장,2018-07-15,1.2,182.8
923,기장,2018-07-16,1.2,239.1
923,기장,2018-07-17,1.4,216.6
923,기장,2018-07-18,1.2,180
923,기장,2018-07-19,1.4,194.1
923,기장,2018-07-20,1,191.3
923,기장,2018-07-21,1.4,171.6
923,기장,2018-07-22,1.2,129.4
923,기장,2018-07-23,1.5,199.7
923,기장,2018-07-24,1.4,163.1
923,기장,2018-07-25,1.3,270
923,기장,2018-07-26,1,160.3
923,기장,2018-07-27,1,174.4
923,기장,2018-07-28,2.1,81.6
923,기장,2018-07-29,3.5,61.9
923,기장,2018-07-30,2.8,30.9
923,기장,2018-07-31,2.7,25.3
923,기장,2018-08-01,2.2,98.4
923,기장,2018-08-02,2.1,42.2
923,기장,2018-08-03,1.6,255.9
923,기장,2018-08-04,1.8,236.3
923,기장,2018-08-05,1.1,160.3
923,기장,2018-08-06,1.3,101.3
923,기장,2018-08-07,2.2,84.4
923,기장,2018-08-08,1.7,50.6
923,기장,2018-08-09,1.2,95.6
923,기장,2018-08-10,1.4,70.3
923,기장,2018-08-11,2.5,19.7
923,기장,2018-08-12,1.9,84.4
923,기장,2018-08-13,1.4,140.6
923,기장,2018-08-14,1.2,95.6
923,기장,2018-08-15,2.1,267.2
923,기장,2018-08-16,2.3,14.1
923,기장,2018-08-17,3.5,47.8
923,기장,2018-08-18,2.5,78.8
923,기장,2018-08-19,1.5,61.9
923,기장,2018-08-20,1.4,98.4
923,기장,2018-08-21,1.7,216.6
923,기장,2018-08-22,2.1,22.5
923,기장,2018-08-23,2.1,84.4
923,기장,2018-08-24,4,174.4
923,기장,2018-08-25,1.2,213.8
923,기장,2018-08-26,1.3,84.4
923,기장,2018-08-27,1.4,315
923,기장,2018-08-28,1.3,270
923,기장,2018-08-29,1.8,250.3
923,기장,2018-08-30,1.8,239.1
