inspecYm,inspecDivision,inspecArea,water01,water02,waterComment,sample_date
20250613,개장전,송도4,5,121,적합,2025-06-13
20250613,개장전,송도5,16,73,적합,2025-06-13
20250613,개장전,송도6,0,146,적합,2025-06-13
20250703,개장중1차,송도1,0,20,적합,2025-07-03
20250703,개장중1차,송도2,5,20,적합,2025-07-03
20250703,개장중1차,송도3,0,20,적합,2025-07-03
20250703,개장중1차,송도4,0,0,적합,2025-07-03
20250703,개장중1차,송도5,0,63,적합,2025-07-03
20250703,개장중1차,송도6,0,20,적합,2025-07-03
20250716,개장중2차,송도1,16,173,적합,2025-07-16
20250716,개장중2차,송도2,10,86,적합,2025-07-16
20250716,개장중2차,송도3,21,20,적합,2025-07-16
20250716,개장중2차,송도4,42,512,부적합,2025-07-16
20250716,개장중2차,송도5,21,393,적합,2025-07-16
20250716,개장중2차,송도6,10,98,적합,2025-07-16
20250730,개장중3차,송도1,0,20,적합,2025-07-30
20250730,개장중3차,송도2,5,10,적합,2025-07-30
20250730,개장중3차,송도3,10,63,적합,2025-07-30
20250730,개장중3차,송도4,5,98,적합,2025-07-30
20250730,개장중3차,송도5,0,52,적합,2025-07-30
20250730,개장중3차,송도6,10,41,적합,2025-07-30
20250813,개장중4차,송도1,32,331,적합,2025-08-13
20250813,개장중4차,송도2,32,275,적합,2025-08-13
20250813,개장중4차,송도3,32,495,적합,2025-08-13
20250813,개장중4차,송도4,38,373,적합,2025-08-13
20250813,개장중4차,송도5,32,135,적합,2025-08-13
20250813,개장중4차,송도6,37,158,적합,2025-08-13
20250826,개장중4차,송도1,5,203,적합,2025-08-26
20250826,개장중4차,송도2,5,121,적합,2025-08-26
20250826,개장중4차,송도3,10,246,적합,2025-08-26
20250826,개장중4차,송도4,26,262,적합,2025-08-26
20250826,개장중4차,송도5,0,41,적합,2025-08-26
20250826,개장중4차,송도6,5,299,적합,2025-08-26
20250916,폐장후,송도1,16,199,적합,2025-09-16
20250916,폐장후,송도2,26,173,적합,2025-09-16
20250916,폐장후,송도3,0,156,적합,2025-09-16
20250916,폐장후,송도4,38,121,적합,2025-09-16
20250916,폐장후,송도5,32,86,적합,2025-09-16
20250916,폐장후,송도6,42,131,적합,2025-09-16
