date,wind_max,wind_dir
2017-11-04,22.9,334
2017-11-05,15.9,315
2017-11-06,15.8,278
2017-11-07,11.2,271
2017-11-08,17.3,307
2017-11-09,18.7,359
2017-11-10,27.0,248
2017-11-11,26.4,324
2017-11-12,12.9,317
2017-11-13,15.9,292
2017-11-14,16.9,311
2017-11-15,23.7,294
2017-11-16,12.3,313
2017-11-17,11.2,334
2017-11-18,39.4,330
2017-11-19,33.2,327
2017-11-20,18.3,310
2017-11-21,16.3,281
2017-11-22,21.0,292
2017-11-23,25.2,301
2017-11-24,29.0,288
2017-11-25,17.1,240
2017-11-26,18.4,280
2017-11-27,14.3,38
2017-11-28,13.1,260
2017-11-29,17.4,332
2017-11-30,28.7,329
2017-12-01,30.1,327
2017-12-02,10.0,331
2017-12-03,8.2,324
2017-12-04,25.0,320
2017-12-05,26.7,311
2017-12-06,12.2,334
2017-12-07,18.5,321
2017-12-08,28.9,321
2017-12-09,20.9,310
2017-12-10,20.3,294
2017-12-11,35.7,293
2017-12-12,21.5,315
2017-12-13,25.6,321
2017-12-14,17.9,335
2017-12-15,14.8,330
2017-12-16,28.2,318
2017-12-17,29.8,312
2017-12-18,23.7,298
2017-12-19,20.9,314
2017-12-20,25.6,326
2017-12-21,14.0,329
2017-12-22,12.6,305
2017-12-23,10.8,316
2017-12-24,32.1,272
2017-12-25,21.8,309
2017-12-26,23.9,296
2017-12-27,21.4,310
2017-12-28,30.1,329
2017-12-29,20.2,325
2017-12-30,10.6,319
2017-12-31,22.5,305
2018-01-01,22.5,322
2018-01-02,15.8,307
2018-01-03,24.8,330
2018-01-04,23.7,337
2018-01-05,18.8,324
2018-01-06,24.1,322
2018-01-07,13.7,355
2018-01-08,19.0,329
2018-01-09,32.3,289
2018-01-10,26.9,300
2018-01-11,29.6,301
2018-01-12,25.0,313
2018-01-13,18.9,318
2018-01-14,11.2,343
2018-01-15,15.5,269
2018-01-16,17.7,343
2018-01-17,16.8,350
2018-01-18,12.0,332
2018-01-19,18.8,330
2018-01-20,16.6,336
2018-01-21,16.8,356
2018-01-22,24.9,298
2018-01-23,26.7,302
2018-01-24,27.2,315
2018-01-25,32.2,324
2018-01-26,27.3,324
2018-01-27,19.3,325
2018-01-28,19.9,316
2018-01-29,22.7,313
2018-01-30,27.5,316
2018-01-31,12.5,302
2018-02-01,13.4,337
2018-02-02,15.3,325
2018-02-03,26.2,310
2018-02-04,30.0,305
2018-02-05,33.7,302
2018-02-06,28.7,305
2018-02-07,22.4,315
2018-02-08,12.3,336
2018-02-09,14.9,260
2018-02-10,23.6,300
2018-02-11,31.3,295
2018-02-12,22.1,291
2018-02-13,21.5,265
2018-02-14,33.2,245
2018-02-15,18.3,338
2018-02-16,14.0,318
2018-02-17,21.0,319
2018-02-18,20.0,348
2018-02-19,14.8,359
2018-02-20,15.2,337
2018-02-21,26.9,331
2018-02-22,18.1,320
2018-02-23,21.2,251
2018-02-24,18.5,294
2018-02-25,14.7,34
