date,gijang_discharge_m3_day,jeonggwan_discharge_m3_day
2016-05-04,32795.0,26491
2016-05-05,31489.0,23244
2016-05-06,32024.0,21397
2016-05-07,29109.0,21328
2016-05-08,28702.0,21743
2016-05-09,27633.0,21840
2016-05-10,28873.0,22749
2016-05-11,30342.0,22650
2016-05-12,30487.0,22200
2016-05-13,29278.0,21961
2016-05-14,28344.0,21662
2016-05-15,27557.0,21514
2016-05-16,32108.0,24725
2016-05-17,31433.0,23134
2016-05-18,28749.0,23102
2016-05-19,27287.0,22160
2016-05-20,27692.0,22979
2016-05-21,30580.0,21787
2016-05-22,29408.0,20524
2016-05-23,25485.0,21000
2016-05-24,27184.0,22673
2016-05-25,30958.0,22067
2016-05-26,29360.0,21735
2016-05-27,28526.0,21019
2016-05-28,27842.0,20326
2016-05-29,28818.0,21326
2016-05-30,27931.0,21452
2016-05-31,26676.0,20411
2016-06-01,25069.0,19977
2016-06-02,25256.0,20171
2016-06-03,24973.0,20195
2016-06-04,27543.0,20892
2016-06-05,28598.0,19750
2016-06-06,27998.0,19998
2016-06-07,26291.0,20300
2016-06-08,26416.0,21507
2016-06-09,24585.0,20529
2016-06-10,25666.0,22247
2016-06-11,26456.0,22242
2016-06-12,27989.0,21199
2016-06-13,28702.0,21891
2016-06-14,27522.0,21101
2016-06-15,25463.0,20683
2016-06-16,27959.0,22387
2016-06-17,25774.0,21636
2016-06-18,26095.0,21100
2016-06-19,29803.0,21937
2016-06-20,26623.0,21860
2016-06-21,32023.0,20724
2016-06-22,29909.0,21189
2016-06-23,29234.0,21805
2016-06-24,29352.0,26819
2016-06-25,31288.0,24770
2016-06-26,28526.0,22165
2016-06-27,29198.0,22395
2016-06-28,28331.0,21865
2016-06-29,28720.0,21600
2016-06-30,31910.0,23080
2016-07-01,32053.0,32682
2016-07-02,32831.0,33769
2016-07-03,33232.0,31350
2016-07-04,33153.0,36017
2016-07-05,33251.0,29505
2016-07-06,31447.0,28119
2016-07-07,32853.0,24727
2016-07-08,32215.0,24170
