관리구군명,관리기관명,방문객수(명),방문일,연번,연도
부산광역시 해운대구,관광시설관리사업소,33466,2022-06-16,15,2022
부산광역시 해운대구,관광시설관리사업소,36745,2022-06-17,16,2022
부산광역시 해운대구,관광시설관리사업소,44085,2022-06-18,17,2022
부산광역시 해운대구,관광시설관리사업소,56126,2022-06-19,18,2022
부산광역시 해운대구,관광시설관리사업소,44674,2022-06-20,19,2022
부산광역시 해운대구,관광시설관리사업소,35179,2022-06-21,20,2022
부산광역시 해운대구,관광시설관리사업소,35161,2022-06-22,21,2022
부산광역시 해운대구,관광시설관리사업소,36517,2022-06-23,22,2022
부산광역시 해운대구,관광시설관리사업소,34377,2022-06-24,23,2022
부산광역시 해운대구,관광시설관리사업소,43219,2022-06-25,24,2022
부산광역시 해운대구,관광시설관리사업소,50086,2022-06-26,25,2022
부산광역시 해운대구,관광시설관리사업소,40856,2022-06-27,26,2022
부산광역시 해운대구,관광시설관리사업소,33774,2022-06-28,27,2022
부산광역시 해운대구,관광시설관리사업소,34886,2022-06-29,28,2022
부산광역시 해운대구,관광시설관리사업소,34617,2022-06-30,29,2022
부산광역시 해운대구,관광시설관리사업소,39130,2022-07-01,30,2022
부산광역시 해운대구,관광시설관리사업소,48638,2022-07-02,31,2022
부산광역시 해운대구,관광시설관리사업소,58919,2022-07-03,32,2022
부산광역시 해운대구,관광시설관리사업소,43876,2022-07-04,33,2022
부산광역시 해운대구,관광시설관리사업소,35129,2022-07-05,34,2022
부산광역시 해운대구,관광시설관리사업소,35464,2022-07-06,35,2022
부산광역시 해운대구,관광시설관리사업소,36594,2022-07-07,36,2022
부산광역시 해운대구,관광시설관리사업소,75657,2022-07-08,37,2022
부산광역시 해운대구,관광시설관리사업소,84189,2022-07-09,38,2022
부산광역시 해운대구,관광시설관리사업소,101155,2022-07-10,39,2022
부산광역시 해운대구,관광시설관리사업소,86862,2022-07-11,40,2022
부산광역시 해운대구,관광시설관리사업소,67306,2022-07-12,41,2022
부산광역시 해운대구,관광시설관리사업소,68960,2022-07-13,42,2022
부산광역시 해운대구,관광시설관리사업소,74965,2022-07-14,43,2022
부산광역시 해운대구,관광시설관리사업소,77132,2022-07-15,44,2022
부산광역시 해운대구,관광시설관리사업소,98839,2022-07-16,45,2022
부산광역시 해운대구,관광시설관리사업소,114599,2022-07-17,46,2022
부산광역시 해운대구,관광시설관리사업소,85732,2022-07-18,47,2022
부산광역시 해운대구,관광시설관리사업소,68654,2022-07-19,48,2022
부산광역시 해운대구,관광시설관리사업소,70734,2022-07-20,49,2022
부산광역시 해운대구,관광시설관리사업소,77215,2022-07-21,50,2022
부산광역시 해운대구,관광시설관리사업소,79758,2022-07-22,51,2022
부산광역시 해운대구,관광시설관리사업소,92148,2022-07-23,52,2022
부산광역시 해운대구,관광시설관리사업소,104956,2022-07-24,53,2022
부산광역시 해운대구,관광시설관리사업소,92214,2022-07-25,54,2022
부산광역시 해운대구,관광시설관리사업소,84024,2022-07-26,55,2022
부산광역시 해운대구,관광시설관리사업소,83259,2022-07-27,56,2022
부산광역시 해운대구,관광시설관리사업소,85367,2022-07-28,57,2022
부산광역시 해운대구,관광시설관리사업소,241237,2022-07-29,58,2022
부산광역시 해운대구,관광시설관리사업소,256361,2022-07-30,59,2022
부산광역시 해운대구,관광시설관리사업소,281855,2022-07-31,60,2022
부산광역시 해운대구,관광시설관리사업소,262737,2022-08-01,61,2022
부산광역시 해운대구,관광시설관리사업소,263089,2022-08-02,62,2022
부산광역시 해운대구,관광시설관리사업소,254656,2022-08-03,63,2022
부산광역시 해운대구,관광시설관리사업소,254265,2022-08-04,64,2022
부산광역시 해운대구,관광시설관리사업소,254163,2022-08-05,65,2022
부산광역시 해운대구,관광시설관리사업소,247382,2022-08-06,66,2022
부산광역시 해운대구,관광시설관리사업소,263855,2022-08-07,67,2022
부산광역시 해운대구,관광시설관리사업소,251352,2022-08-08,68,2022
부산광역시 해운대구,관광시설관리사업소,236649,2022-08-09,69,2022
부산광역시 해운대구,관광시설관리사업소,234203,2022-08-10,70,2022
부산광역시 해운대구,관광시설관리사업소,236028,2022-08-11,71,2022
부산광역시 해운대구,관광시설관리사업소,236968,2022-08-12,72,2022
부산광역시 해운대구,관광시설관리사업소,256891,2022-08-13,73,2022
부산광역시 해운대구,관광시설관리사업소,274404,2022-08-14,74,2022
부산광역시 해운대구,관광시설관리사업소,274386,2022-08-15,75,2022
부산광역시 해운대구,관광시설관리사업소,95170,2022-08-16,76,2022
부산광역시 해운대구,관광시설관리사업소,72395,2022-08-17,77,2022
부산광역시 해운대구,관광시설관리사업소,81544,2022-08-18,78,2022
부산광역시 해운대구,관광시설관리사업소,87820,2022-08-19,79,2022
부산광역시 해운대구,관광시설관리사업소,88575,2022-08-20,80,2022
부산광역시 해운대구,관광시설관리사업소,88190,2022-08-21,81,2022
부산광역시 해운대구,관광시설관리사업소,50346,2022-08-22,82,2022
부산광역시 해운대구,관광시설관리사업소,40028,2022-08-23,83,2022
부산광역시 해운대구,관광시설관리사업소,37683,2022-08-24,84,2022
부산광역시 해운대구,관광시설관리사업소,39550,2022-08-25,85,2022
부산광역시 해운대구,관광시설관리사업소,42156,2022-08-26,86,2022
부산광역시 해운대구,관광시설관리사업소,46208,2022-08-27,87,2022
부산광역시 해운대구,관광시설관리사업소,54929,2022-08-28,88,2022
부산광역시 해운대구,관광시설관리사업소,44999,2022-08-29,89,2022
부산광역시 해운대구,관광시설관리사업소,38395,2022-08-30,90,2022
부산광역시 해운대구,관광시설관리사업소,33540,2022-08-31,91,2022
부산광역시 해운대구,관광시설관리사업소,63374,2024-06-01,1,2024
부산광역시 해운대구,관광시설관리사업소,51849,2024-06-02,2,2024
부산광역시 해운대구,관광시설관리사업소,34829,2024-06-03,3,2024
부산광역시 해운대구,관광시설관리사업소,35427,2024-06-04,4,2024
부산광역시 해운대구,관광시설관리사업소,40693,2024-06-05,5,2024
부산광역시 해운대구,관광시설관리사업소,68899,2024-06-06,6,2024
부산광역시 해운대구,관광시설관리사업소,67501,2024-06-07,7,2024
부산광역시 해운대구,관광시설관리사업소,56378,2024-06-08,8,2024
부산광역시 해운대구,관광시설관리사업소,51815,2024-06-09,9,2024
부산광역시 해운대구,관광시설관리사업소,34657,2024-06-10,10,2024
부산광역시 해운대구,관광시설관리사업소,33547,2024-06-11,11,2024
